Date,TrafficVolume
2025-01-01,625
2025-01-02,300
2025-01-03,596
2025-01-04,555
2025-01-05,330
2025-01-06,577
2025-01-07,429
2025-01-08,969
2025-01-09,999
2025-01-10,322
2025-01-11,738
2025-01-12,340
2025-01-13,847
2025-01-14,931
2025-01-15,663
2025-01-16,484
2025-01-17,569
2025-01-18,425
2025-01-19,493
2025-01-20,905
2025-01-21,926
2025-01-22,918
2025-01-23,835
2025-01-24,816
2025-01-25,701
2025-01-26,692
2025-01-27,873
2025-01-28,993
2025-01-29,968
2025-01-30,854
2025-01-31,574
2025-02-01,807
2025-02-02,416
2025-02-03,774
2025-02-04,271
2025-02-05,606
2025-02-06,290
2025-02-07,635
2025-02-08,557
2025-02-09,382
2025-02-10,879
2025-02-11,637
2025-02-12,443
2025-02-13,659
2025-02-14,923
2025-02-15,841
2025-02-16,356
2025-02-17,271
2025-02-18,535
2025-02-19,633
2025-02-20,226
2025-02-21,497
2025-02-22,813
2025-02-23,282
2025-02-24,208
2025-02-25,528
2025-02-26,698
2025-02-27,729
2025-02-28,776
2025-03-01,523
2025-03-02,843
2025-03-03,448
2025-03-04,430
2025-03-05,325
2025-03-06,922
2025-03-07,422
2025-03-08,379
2025-03-09,680
2025-03-10,892
2025-03-11,446
2025-03-12,379
2025-03-13,432
2025-03-14,590
2025-03-15,354
2025-03-16,686
2025-03-17,606
2025-03-18,724
2025-03-19,650
2025-03-20,801
2025-03-21,667
2025-03-22,657
2025-03-23,801
2025-03-24,395
2025-03-25,883
2025-03-26,514
2025-03-27,447
2025-03-28,374
2025-03-29,382
2025-03-30,797
2025-03-31,839
2025-04-01,672
2025-04-02,778
2025-04-03,420
2025-04-04,388
2025-04-05,817
2025-04-06,239
2025-04-07,567
2025-04-08,251
2025-04-09,463
2025-04-10,835
